method,route,domain,runtime_present,openapi_present,decision,owner,target_week,evidence_ref
POST,/admin/lifecycle/request-maintenance,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
POST,/admin/lifecycle/request-shutdown,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
POST,/admin/lifecycle/safe-restart,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
*,/docs,slice_e_residual,true,false,exclude,api-contract-team,week_2,docs/api/openapi_route_coverage_exclusions.txt
GET,/healthz,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
GET,/healthz/all,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
GET,/healthz/{component},slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
*,/internal/models,slice_e_residual,true,false,exclude,api-contract-team,week_2,docs/api/openapi_route_coverage_exclusions.txt
GET,/metrics,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
GET,/readyz,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
*,/system/ready,slice_e_residual,true,false,exclude,api-contract-team,week_2,docs/api/openapi_route_coverage_exclusions.txt
GET|POST,/v1/activity/events,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
GET,/v1/activity/feed,slice_e_residual,true,true,implement,api-contract-team,week_2,runtime+openapi
GET|POST,/v1/adapter-repositories,slice_a_adapters_repos,true,true,implement,api-contract-team,week_1,runtime+openapi
GET,/v1/adapter-repositories/{repo_id},slice_a_adapters_repos,true,true,implement,api-contract-team,week_1,runtime+openapi
POST,/v1/adapter-repositories/{repo_id}/archive,slice_a_adapters_repos,true,true,implement,api-contract-team,week_1,runtime+openapi
GET|PUT,/v1/adapter-repositories/{repo_id}/policy,slice_a_adapters_repos,true,true,implement,api-contract-team,week_1,runtime+openapi
POST,/v1/adapter-repositories/{repo_id}/resolve-version,slice_a_adapters_repos,true,true,implement,api-contract-team,week_1,runtime+openapi
